O*NET-SOC Code,Title,Element ID,Element Name,Importance,Importance_SE,Importance_LowerCI,Importance_UpperCI,Level,Level_SE,Level_LowerCI,Level_UpperCI,SkillScore
11-1021.00,General and Operations Managers,2.A.2.a,Critical Thinking,3.88,0.125,3.63,4.12,3.88,0.125,3.63,4.12,43.0
11-1021.00,General and Operations Managers,2.A.2.b,Active Learning,3.62,0.183,3.2664,3.9836,3.75,0.1637,3.4292,4.0708,38.8
11-1021.00,General and Operations Managers,2.A.2.c,Learning Strategies,3.0,0.0,3.0,3.0,3.12,0.125,2.88,3.37,26.7
11-1021.00,General and Operations Managers,2.A.2.d,Monitoring,4.0,0.0,4.0,4.0,4.12,0.125,3.88,4.37,47.1
11-2011.00,Advertising and Promotions Managers,2.A.1.a,Reading Comprehension,3.75,0.1637,3.4292,4.0708,4.0,0.0,4.0,4.0,42.9
11-2011.00,Advertising and Promotions Managers,2.A.1.b,Active Listening,4.12,0.125,3.88,4.37,4.12,0.125,3.88,4.37,48.5
11-2011.00,Advertising and Promotions Managers,2.A.1.c,Writing,3.75,0.1637,3.4292,4.0708,4.0,0.0,4.0,4.0,42.9
11-2011.00,Advertising and Promotions Managers,2.A.1.d,Speaking,4.12,0.125,3.88,4.37,4.12,0.125,3.88,4.37,48.5
11-2011.00,Advertising and Promotions Managers,2.A.1.e,Mathematics,2.88,0.125,2.63,3.12,3.0,0.0,3.0,3.0,24.7
11-2011.00,Advertising and Promotions Managers,2.A.1.f,Science,1.5,0.189,1.1296,1.8704,0.5,0.189,0.1296,0.8704,2.1
11-2011.00,Advertising and Promotions Managers,2.A.2.a,Critical Thinking,3.88,0.125,3.63,4.12,4.12,0.125,3.88,4.37,45.7
11-2011.00,Advertising and Promotions Managers,2.A.2.b,Active Learning,3.38,0.183,3.0164,3.7336,4.12,0.125,3.88,4.37,39.8
11-2011.00,Advertising and Promotions Managers,2.A.2.c,Learning Strategies,3.0,0.0,3.0,3.0,3.12,0.125,2.88,3.37,26.7
11-2011.00,Advertising and Promotions Managers,2.A.2.d,Monitoring,3.5,0.2673,2.9762,4.0238,4.12,0.125,3.88,4.37,41.2
11-2021.00,Marketing Managers,2.A.1.a,Reading Comprehension,3.88,0.125,3.63,4.12,4.12,0.125,3.88,4.37,45.7
11-2021.00,Marketing Managers,2.A.1.b,Active Listening,4.12,0.125,3.88,4.37,4.12,0.125,3.88,4.37,48.5
11-2021.00,Marketing Managers,2.A.1.c,Writing,3.25,0.1637,2.9292,3.5708,3.88,0.125,3.63,4.12,36.0
11-2021.00,Marketing Managers,2.A.1.d,Speaking,4.0,0.0,4.0,4.0,4.12,0.125,3.88,4.37,47.1
11-2021.00,Marketing Managers,2.A.1.e,Mathematics,3.0,0.189,2.6296,3.3704,3.0,0.189,2.6296,3.3704,25.7
11-2021.00,Marketing Managers,2.A.1.f,Science,1.75,0.1637,1.4292,2.0708,1.25,0.3134,0.6358,1.8642,6.2
11-2021.00,Marketing Managers,2.A.2.a,Critical Thinking,3.88,0.125,3.63,4.12,4.12,0.125,3.88,4.37,45.7
11-2021.00,Marketing Managers,2.A.2.b,Active Learning,3.88,0.2266,3.4309,4.3191,4.12,0.125,3.88,4.37,45.7
11-2021.00,Marketing Managers,2.A.2.c,Learning Strategies,3.25,0.1637,2.9292,3.5708,3.5,0.189,3.1296,3.8704,32.5
11-2021.00,Marketing Managers,2.A.2.d,Monitoring,3.88,0.125,3.63,4.12,4.12,0.125,3.88,4.37,45.7
11-2022.00,Sales Managers,2.A.1.a,Reading Comprehension,3.88,0.125,3.63,4.12,4.0,0.0,4.0,4.0,44.3
11-2022.00,Sales Managers,2.A.1.b,Active Listening,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
11-2022.00,Sales Managers,2.A.1.c,Writing,3.62,0.183,3.2664,3.9836,4.0,0.0,4.0,4.0,41.4
11-2022.00,Sales Managers,2.A.1.d,Speaking,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
11-2022.00,Sales Managers,2.A.1.e,Mathematics,3.0,0.0,3.0,3.0,3.12,0.125,2.88,3.37,26.7
11-2022.00,Sales Managers,2.A.1.f,Science,1.62,0.183,1.2664,1.9836,0.62,0.183,0.2664,0.9836,2.9
11-2022.00,Sales Managers,2.A.2.a,Critical Thinking,3.88,0.125,3.63,4.12,4.0,0.0,4.0,4.0,44.3
11-2022.00,Sales Managers,2.A.2.b,Active Learning,3.75,0.1637,3.4292,4.0708,3.88,0.125,3.63,4.12,41.6
11-2022.00,Sales Managers,2.A.2.c,Learning Strategies,3.12,0.125,2.88,3.37,3.62,0.183,3.2664,3.9836,32.3
11-2022.00,Sales Managers,2.A.2.d,Monitoring,3.88,0.125,3.63,4.12,4.62,0.183,4.2664,4.9836,51.2
11-2032.00,Public Relations Managers,2.A.1.a,Reading Comprehension,4.12,0.125,3.88,4.37,4.12,0.125,3.88,4.37,48.5
11-2032.00,Public Relations Managers,2.A.1.b,Active Listening,4.12,0.125,3.88,4.37,4.12,0.125,3.88,4.37,48.5
11-2032.00,Public Relations Managers,2.A.1.c,Writing,4.0,0.189,3.6296,4.3704,3.88,0.125,3.63,4.12,44.3
11-2032.00,Public Relations Managers,2.A.1.d,Speaking,4.25,0.1637,3.9292,4.5708,4.0,0.2673,3.4762,4.5238,48.6
11-2032.00,Public Relations Managers,2.A.1.e,Mathematics,2.38,0.183,2.0164,2.7336,2.25,0.25,1.76,2.74,15.3
11-2032.00,Public Relations Managers,2.A.1.f,Science,1.12,0.125,1.0,1.37,0.25,0.25,0.0,0.74,0.8
11-2032.00,Public Relations Managers,2.A.2.a,Critical Thinking,3.88,0.2266,3.4309,4.3191,3.88,0.125,3.63,4.12,43.0
11-2032.00,Public Relations Managers,2.A.2.b,Active Learning,3.62,0.183,3.2664,3.9836,3.5,0.189,3.1296,3.8704,36.2
11-2032.00,Public Relations Managers,2.A.2.c,Learning Strategies,3.0,0.2673,2.4762,3.5238,3.25,0.25,2.76,3.74,27.9
11-2032.00,Public Relations Managers,2.A.2.d,Monitoring,3.5,0.189,3.1296,3.8704,3.62,0.2631,3.1094,4.1406,36.2
11-2033.00,Fundraising Managers,2.A.1.a,Reading Comprehension,3.88,0.125,3.63,4.12,3.88,0.125,3.63,4.12,43.0
11-2033.00,Fundraising Managers,2.A.1.b,Active Listening,4.0,0.189,3.6296,4.3704,4.0,0.0,4.0,4.0,45.7
11-2033.00,Fundraising Managers,2.A.1.c,Writing,3.88,0.2266,3.4309,4.3191,4.0,0.189,3.6296,4.3704,44.3
11-2033.00,Fundraising Managers,2.A.1.d,Speaking,4.12,0.125,3.88,4.37,3.88,0.125,3.63,4.12,45.7
11-2033.00,Fundraising Managers,2.A.1.e,Mathematics,3.0,0.2673,2.4762,3.5238,2.75,0.3134,2.1358,3.3642,23.6
11-2033.00,Fundraising Managers,2.A.1.f,Science,1.25,0.1637,1.0,1.5708,0.25,0.1637,0.0,0.5708,0.9
11-2033.00,Fundraising Managers,2.A.2.a,Critical Thinking,4.12,0.125,3.88,4.37,3.88,0.125,3.63,4.12,45.7
11-2033.00,Fundraising Managers,2.A.2.b,Active Learning,3.38,0.2631,2.8594,3.8906,3.62,0.2631,3.1094,4.1406,35.0
11-2033.00,Fundraising Managers,2.A.2.c,Learning Strategies,2.62,0.183,2.2664,2.9836,2.75,0.3134,2.1358,3.3642,20.6
11-2033.00,Fundraising Managers,2.A.2.d,Monitoring,3.12,0.125,2.88,3.37,3.88,0.2266,3.4309,4.3191,34.6
11-3012.00,Administrative Services Managers,2.A.1.a,Reading Comprehension,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
11-3012.00,Administrative Services Managers,2.A.1.b,Active Listening,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
11-3012.00,Administrative Services Managers,2.A.1.c,Writing,3.75,0.1637,3.4292,4.0708,3.75,0.1637,3.4292,4.0708,40.2
11-3012.00,Administrative Services Managers,2.A.1.d,Speaking,3.88,0.125,3.63,4.12,3.88,0.125,3.63,4.12,43.0
11-3012.00,Administrative Services Managers,2.A.1.e,Mathematics,2.25,0.1637,1.9292,2.5708,2.12,0.125,1.88,2.37,13.6
11-3012.00,Administrative Services Managers,2.A.1.f,Science,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
11-3012.00,Administrative Services Managers,2.A.2.a,Critical Thinking,3.75,0.1637,3.4292,4.0708,3.88,0.125,3.63,4.12,41.6
11-3012.00,Administrative Services Managers,2.A.2.b,Active Learning,3.12,0.2266,2.6809,3.5691,3.38,0.183,3.0164,3.7336,30.1
11-3012.00,Administrative Services Managers,2.A.2.c,Learning Strategies,3.0,0.0,3.0,3.0,3.25,0.1637,2.9292,3.5708,27.9
11-3012.00,Administrative Services Managers,2.A.2.d,Monitoring,3.38,0.183,3.0164,3.7336,3.62,0.183,3.2664,3.9836,35.0
11-3013.00,Facilities Managers,2.A.1.a,Reading Comprehension,3.75,0.1637,3.4292,4.0708,3.88,0.125,3.63,4.12,41.6
11-3013.00,Facilities Managers,2.A.1.b,Active Listening,3.75,0.1637,3.4292,4.0708,3.75,0.1637,3.4292,4.0708,40.2
11-3013.00,Facilities Managers,2.A.1.c,Writing,3.25,0.1637,2.9292,3.5708,3.75,0.1637,3.4292,4.0708,34.8
11-3013.00,Facilities Managers,2.A.1.d,Speaking,3.88,0.125,3.63,4.12,3.75,0.1637,3.4292,4.0708,41.6
11-3013.00,Facilities Managers,2.A.1.e,Mathematics,2.75,0.3134,2.1358,3.3642,2.75,0.3134,2.1358,3.3642,21.6
11-3013.00,Facilities Managers,2.A.1.f,Science,1.5,0.189,1.1296,1.8704,0.75,0.3134,0.1358,1.3642,3.2
11-3013.00,Facilities Managers,2.A.2.a,Critical Thinking,3.75,0.1637,3.4292,4.0708,3.75,0.1637,3.4292,4.0708,40.2
11-3013.00,Facilities Managers,2.A.2.b,Active Learning,3.12,0.295,2.5467,3.7033,3.12,0.295,2.5467,3.7033,27.8
11-3013.00,Facilities Managers,2.A.2.c,Learning Strategies,3.0,0.2673,2.4762,3.5238,3.25,0.25,2.76,3.74,27.9
11-3013.00,Facilities Managers,2.A.2.d,Monitoring,3.75,0.1637,3.4292,4.0708,3.88,0.2266,3.4309,4.3191,41.6
11-3013.01,Security Managers,2.A.1.a,Reading Comprehension,4.12,0.125,3.88,4.37,4.0,0.189,3.6296,4.3704,47.1
11-3013.01,Security Managers,2.A.1.b,Active Listening,4.12,0.125,3.88,4.37,4.0,0.189,3.6296,4.3704,47.1
11-3013.01,Security Managers,2.A.1.c,Writing,3.75,0.1637,3.4292,4.0708,3.88,0.2266,3.4309,4.3191,41.6
11-3013.01,Security Managers,2.A.1.d,Speaking,4.0,0.189,3.6296,4.3704,4.0,0.189,3.6296,4.3704,45.7
11-3013.01,Security Managers,2.A.1.e,Mathematics,2.5,0.3273,1.8584,3.1416,2.38,0.4605,1.4724,3.2776,17.0
11-3013.01,Security Managers,2.A.1.f,Science,1.38,0.183,1.0164,1.7336,0.38,0.183,0.0164,0.7336,1.5
11-3013.01,Security Managers,2.A.2.a,Critical Thinking,4.25,0.25,3.76,4.74,4.12,0.125,3.88,4.37,50.0
11-3013.01,Security Managers,2.A.2.b,Active Learning,3.62,0.2631,3.1094,4.1406,3.62,0.3239,2.9902,4.2598,37.4
11-3013.01,Security Managers,2.A.2.c,Learning Strategies,3.38,0.2631,2.8594,3.8906,3.5,0.3273,2.8584,4.1416,33.8
11-3013.01,Security Managers,2.A.2.d,Monitoring,4.0,0.0,4.0,4.0,4.62,0.2631,4.1094,5.1406,52.8
11-3021.00,Computer and Information Systems Managers,2.A.1.a,Reading Comprehension,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
11-3021.00,Computer and Information Systems Managers,2.A.1.b,Active Listening,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
11-3021.00,Computer and Information Systems Managers,2.A.1.c,Writing,3.75,0.1637,3.4292,4.0708,4.0,0.0,4.0,4.0,42.9
11-3021.00,Computer and Information Systems Managers,2.A.1.d,Speaking,3.88,0.125,3.63,4.12,3.88,0.125,3.63,4.12,43.0
11-3021.00,Computer and Information Systems Managers,2.A.1.e,Mathematics,3.12,0.125,2.88,3.37,3.12,0.125,2.88,3.37,27.8
11-3021.00,Computer and Information Systems Managers,2.A.1.f,Science,1.75,0.1637,1.4292,2.0708,1.38,0.3239,0.7402,2.0098,6.9
11-3021.00,Computer and Information Systems Managers,2.A.2.a,Critical Thinking,4.12,0.125,3.88,4.37,4.0,0.0,4.0,4.0,47.1
11-3021.00,Computer and Information Systems Managers,2.A.2.b,Active Learning,3.38,0.183,3.0164,3.7336,3.88,0.2266,3.4309,4.3191,37.5
11-3021.00,Computer and Information Systems Managers,2.A.2.c,Learning Strategies,3.25,0.1637,2.9292,3.5708,3.5,0.189,3.1296,3.8704,32.5
11-3021.00,Computer and Information Systems Managers,2.A.2.d,Monitoring,3.88,0.125,3.63,4.12,4.38,0.183,4.0164,4.7336,48.6
11-3031.00,Financial Managers,2.A.1.a,Reading Comprehension,4.0,0.189,3.6296,4.3704,4.38,0.2631,3.8594,4.8906,50.1
11-3031.00,Financial Managers,2.A.1.b,Active Listening,4.0,0.189,3.6296,4.3704,4.38,0.183,4.0164,4.7336,50.1
11-3031.00,Financial Managers,2.A.1.c,Writing,3.75,0.1637,3.4292,4.0708,3.62,0.183,3.2664,3.9836,38.8
11-3031.00,Financial Managers,2.A.1.d,Speaking,4.0,0.189,3.6296,4.3704,4.12,0.2266,3.6809,4.5691,47.1
11-3031.00,Financial Managers,2.A.1.e,Mathematics,3.5,0.189,3.1296,3.8704,3.62,0.183,3.2664,3.9836,36.2
11-3031.00,Financial Managers,2.A.1.f,Science,1.25,0.1637,1.0,1.5708,0.25,0.1637,0.0,0.5708,0.9
11-3031.00,Financial Managers,2.A.2.a,Critical Thinking,4.0,0.0,4.0,4.0,4.25,0.1637,3.9292,4.5708,48.6
11-3031.00,Financial Managers,2.A.2.b,Active Learning,3.5,0.189,3.1296,3.8704,4.0,0.2673,3.4762,4.5238,40.0
11-3031.00,Financial Managers,2.A.2.c,Learning Strategies,3.0,0.189,2.6296,3.3704,3.38,0.2631,2.8594,3.8906,29.0
11-3031.00,Financial Managers,2.A.2.d,Monitoring,3.75,0.25,3.26,4.24,4.12,0.3504,3.4383,4.8117,44.1
11-3031.01,Treasurers and Controllers,2.A.1.a,Reading Comprehension,4.0,0.0,4.0,4.0,4.38,0.183,4.0164,4.7336,50.1
11-3031.01,Treasurers and Controllers,2.A.1.b,Active Listening,4.0,0.0,4.0,4.0,4.25,0.1637,3.9292,4.5708,48.6
11-3031.01,Treasurers and Controllers,2.A.1.c,Writing,3.62,0.183,3.2664,3.9836,4.12,0.125,3.88,4.37,42.6
11-3031.01,Treasurers and Controllers,2.A.1.d,Speaking,4.0,0.0,4.0,4.0,4.38,0.183,4.0164,4.7336,50.1
11-3031.01,Treasurers and Controllers,2.A.1.e,Mathematics,4.0,0.0,4.0,4.0,4.38,0.183,4.0164,4.7336,50.1
11-3031.01,Treasurers and Controllers,2.A.1.f,Science,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
11-3031.01,Treasurers and Controllers,2.A.2.a,Critical Thinking,4.0,0.0,4.0,4.0,4.88,0.125,4.63,5.12,55.8
11-3031.01,Treasurers and Controllers,2.A.2.b,Active Learning,3.88,0.125,3.63,4.12,4.38,0.183,4.0164,4.7336,48.6
11-3031.01,Treasurers and Controllers,2.A.2.c,Learning Strategies,3.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,25.7
11-3031.01,Treasurers and Controllers,2.A.2.d,Monitoring,3.88,0.125,3.63,4.12,4.62,0.2631,4.1094,5.1406,51.2
11-3031.03,Investment Fund Managers,2.A.1.a,Reading Comprehension,4.0,0.2673,3.4762,4.5238,4.25,0.1637,3.9292,4.5708,48.6
11-3031.03,Investment Fund Managers,2.A.1.b,Active Listening,4.0,0.189,3.6296,4.3704,4.12,0.125,3.88,4.37,47.1
11-3031.03,Investment Fund Managers,2.A.1.c,Writing,3.62,0.3239,2.9902,4.2598,3.88,0.295,3.2967,4.4533,40.1
11-3031.03,Investment Fund Managers,2.A.1.d,Speaking,3.88,0.2266,3.4309,4.3191,4.12,0.2266,3.6809,4.5691,45.7
11-3031.03,Investment Fund Managers,2.A.1.e,Mathematics,3.38,0.2631,2.8594,3.8906,3.62,0.3239,2.9902,4.2598,35.0
11-3031.03,Investment Fund Managers,2.A.1.f,Science,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
11-3031.03,Investment Fund Managers,2.A.2.a,Critical Thinking,4.0,0.3273,3.3584,4.6416,4.0,0.189,3.6296,4.3704,45.7
11-3031.03,Investment Fund Managers,2.A.2.b,Active Learning,3.75,0.3134,3.1358,4.3642,3.88,0.295,3.2967,4.4533,41.6
11-3031.03,Investment Fund Managers,2.A.2.c,Learning Strategies,2.88,0.295,2.2967,3.4533,3.12,0.2266,2.6809,3.5691,25.7
11-3031.03,Investment Fund Managers,2.A.2.d,Monitoring,3.5,0.2673,2.9762,4.0238,4.0,0.3273,3.3584,4.6416,40.0
11-3051.00,Industrial Production Managers,2.A.1.a,Reading Comprehension,3.88,0.125,3.63,4.12,4.0,0.0,4.0,4.0,44.3
11-3051.00,Industrial Production Managers,2.A.1.b,Active Listening,3.88,0.125,3.63,4.12,4.0,0.0,4.0,4.0,44.3
11-3051.00,Industrial Production Managers,2.A.1.c,Writing,3.38,0.183,3.0164,3.7336,4.0,0.0,4.0,4.0,38.6
11-3051.00,Industrial Production Managers,2.A.1.d,Speaking,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
11-3051.00,Industrial Production Managers,2.A.1.e,Mathematics,3.38,0.183,3.0164,3.7336,3.75,0.1637,3.4292,4.0708,36.2
11-3051.00,Industrial Production Managers,2.A.1.f,Science,1.62,0.183,1.2664,1.9836,1.12,0.3504,0.4383,1.8117,5.2
11-3051.00,Industrial Production Managers,2.A.2.a,Critical Thinking,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
11-3051.00,Industrial Production Managers,2.A.2.b,Active Learning,3.62,0.183,3.2664,3.9836,4.0,0.0,4.0,4.0,41.4
11-3051.00,Industrial Production Managers,2.A.2.c,Learning Strategies,3.75,0.1637,3.4292,4.0708,4.0,0.0,4.0,4.0,42.9
11-3051.00,Industrial Production Managers,2.A.2.d,Monitoring,4.0,0.0,4.0,4.0,4.88,0.125,4.63,5.12,55.8
11-3051.01,Quality Control Systems Managers,2.A.1.a,Reading Comprehension,4.0,0.0,4.0,4.0,4.12,0.125,3.88,4.37,47.1
11-3051.01,Quality Control Systems Managers,2.A.1.b,Active Listening,3.88,0.125,3.63,4.12,4.12,0.125,3.88,4.37,45.7
11-3051.01,Quality Control Systems Managers,2.A.1.c,Writing,3.88,0.2266,3.4309,4.3191,4.0,0.189,3.6296,4.3704,44.3
11-3051.01,Quality Control Systems Managers,2.A.1.d,Speaking,3.88,0.125,3.63,4.12,4.12,0.125,3.88,4.37,45.7
11-3051.01,Quality Control Systems Managers,2.A.1.e,Mathematics,3.12,0.125,2.88,3.37,3.25,0.1637,2.9292,3.5708,29.0
11-3051.01,Quality Control Systems Managers,2.A.1.f,Science,2.25,0.1637,1.9292,2.5708,2.25,0.25,1.76,2.74,14.5
11-3051.01,Quality Control Systems Managers,2.A.2.a,Critical Thinking,3.75,0.1637,3.4292,4.0708,4.12,0.125,3.88,4.37,44.1
11-3051.01,Quality Control Systems Managers,2.A.2.b,Active Learning,3.62,0.183,3.2664,3.9836,4.12,0.125,3.88,4.37,42.6
11-3051.01,Quality Control Systems Managers,2.A.2.c,Learning Strategies,3.12,0.125,2.88,3.37,3.38,0.183,3.0164,3.7336,30.1
11-3051.01,Quality Control Systems Managers,2.A.2.d,Monitoring,3.88,0.125,3.63,4.12,4.5,0.189,4.1296,4.8704,49.9
11-3051.02,Geothermal Production Managers,2.A.1.a,Reading Comprehension,3.88,0.125,3.63,4.12,4.25,0.1637,3.9292,4.5708,47.1
11-3051.02,Geothermal Production Managers,2.A.1.b,Active Listening,3.62,0.2631,3.1094,4.1406,3.62,0.3239,2.9902,4.2598,37.4
11-3051.02,Geothermal Production Managers,2.A.1.c,Writing,3.62,0.183,3.2664,3.9836,3.75,0.1637,3.4292,4.0708,38.8
11-3051.02,Geothermal Production Managers,2.A.1.d,Speaking,3.88,0.125,3.63,4.12,4.0,0.189,3.6296,4.3704,44.3
11-3051.02,Geothermal Production Managers,2.A.1.e,Mathematics,3.25,0.1637,2.9292,3.5708,3.75,0.3134,3.1358,4.3642,34.8
11-3051.02,Geothermal Production Managers,2.A.1.f,Science,2.38,0.2631,1.8594,2.8906,0.0,,,,0.0
11-3051.02,Geothermal Production Managers,2.A.2.a,Critical Thinking,4.0,0.0,4.0,4.0,3.88,0.2266,3.4309,4.3191,44.3
11-3051.02,Geothermal Production Managers,2.A.2.b,Active Learning,3.5,0.189,3.1296,3.8704,3.25,0.25,2.76,3.74,32.5
11-3051.02,Geothermal Production Managers,2.A.2.c,Learning Strategies,3.25,0.1637,2.9292,3.5708,3.38,0.2631,2.8594,3.8906,31.4
11-3051.02,Geothermal Production Managers,2.A.2.d,Monitoring,3.88,0.125,3.63,4.12,4.38,0.375,3.64,5.11,48.6
11-3051.03,Biofuels Production Managers,2.A.1.a,Reading Comprehension,3.88,0.2266,3.4309,4.3191,4.0,0.2673,3.4762,4.5238,44.3
11-3051.03,Biofuels Production Managers,2.A.1.b,Active Listening,3.75,0.25,3.26,4.24,3.88,0.2266,3.4309,4.3191,41.6
11-3051.03,Biofuels Production Managers,2.A.1.c,Writing,3.5,0.189,3.1296,3.8704,3.5,0.189,3.1296,3.8704,35.0
11-3051.03,Biofuels Production Managers,2.A.1.d,Speaking,3.62,0.2631,3.1094,4.1406,4.0,0.2673,3.4762,4.5238,41.4
11-3051.03,Biofuels Production Managers,2.A.1.e,Mathematics,3.0,0.2673,2.4762,3.5238,3.25,0.25,2.76,3.74,27.9
11-3051.03,Biofuels Production Managers,2.A.1.f,Science,3.0,0.3273,2.3584,3.6416,3.5,0.378,2.7592,4.2408,30.0
11-3051.03,Biofuels Production Managers,2.A.2.a,Critical Thinking,3.88,0.125,3.63,4.12,3.88,0.295,3.2967,4.4533,43.0
11-3051.03,Biofuels Production Managers,2.A.2.b,Active Learning,3.25,0.1637,2.9292,3.5708,3.62,0.2631,3.1094,4.1406,33.6
11-3051.03,Biofuels Production Managers,2.A.2.c,Learning Strategies,3.38,0.183,3.0164,3.7336,3.5,0.189,3.1296,3.8704,33.8
11-3051.03,Biofuels Production Managers,2.A.2.d,Monitoring,3.75,0.25,3.26,4.24,3.88,0.2266,3.4309,4.3191,41.6
11-3051.04,Biomass Power Plant Managers,2.A.1.a,Reading Comprehension,3.88,0.125,3.63,4.12,4.25,0.1637,3.9292,4.5708,47.1
11-3051.04,Biomass Power Plant Managers,2.A.1.b,Active Listening,3.88,0.125,3.63,4.12,3.88,0.125,3.63,4.12,43.0
11-3051.04,Biomass Power Plant Managers,2.A.1.c,Writing,3.12,0.125,2.88,3.37,3.75,0.1637,3.4292,4.0708,33.4
11-3051.04,Biomass Power Plant Managers,2.A.1.d,Speaking,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
11-3051.04,Biomass Power Plant Managers,2.A.1.e,Mathematics,3.0,0.0,3.0,3.0,3.25,0.1637,2.9292,3.5708,27.9
11-3051.04,Biomass Power Plant Managers,2.A.1.f,Science,2.5,0.189,2.1296,2.8704,2.5,0.189,2.1296,2.8704,17.9
11-3051.04,Biomass Power Plant Managers,2.A.2.a,Critical Thinking,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
11-3051.04,Biomass Power Plant Managers,2.A.2.b,Active Learning,3.12,0.125,2.88,3.37,3.38,0.183,3.0164,3.7336,30.1
